Subject,Catalog Number,Title,Topic,Campus
CHEM,123L,General Chemistry Lab 2,,UW
CHEM,125,Chem Reac/Equilibria/Kinetics,,UW
CHEM,125L,Chemical Reaction Lab 2,,UW
CHEM,140,Intro Scientific Calculations,,ONLN
CHEM,212,Structure & Bonding,,UW
CHEM,221,Multi-Component Analysis,,UW
CHEM,224L,Analytical Instrumentation Lab,,UW
CHEM,233,Biochemistry Fundamentals,,UW
CHEM,233L,Fundamentals of Biochem Lab,,UW
CHEM,237,Intro Biochemistry,,UW
CHEM,237L,Intro Biochemistry Lab,,UW
CHEM,254,Intro Chemical Thermodynamics,,UW
CHEM,262,Organic Chemistry (Eng),,UW
CHEM,262L,Organic Chemistry Lab (Eng),,UW
CHEM,265,Organic Chemistry 2,,UW
CHEM,265L,Organic Chemistry Lab 1,,UW
CHEM,267,Basic Organic Chemistry 2,,UW
CHEM,267L,Organic Chemistry Lab,,UW
CHEM,313,Main Group & Solid State Chem,,UW
CHEM,313L,Inorganic Chemistry Lab 1,,UW
CHEM,335L,Advanced Biochemistry Lab,,UW
CHEM,340,Intro Computational Chemistry,,ONLN
CHEM,350,Chem Kinetics & Stat Mechanics,,UW
CHEM,357,Physical Biochemistry,,UW
CHEM,360,Organic Chemistry 3,,UW
CHEM,360L,Senior Organic Chemistry Lab,,UW
CHEM,363,Organic Process Chemistry,,UW
CHEM,381,Bioorganic Chemistry,,UW
CHEM,392A,Research Project 1,,UW
CHEM,392B,Research Project 2,,UW
CHEM,400,Special Topics,Molclr Sens/Img/Spect/Nanodiag,UW
CHEM,400,Special Topics,Polymerztn bynd Radcl/Cndnstn,UW
CHEM,400,Special Topics,Green Chemistry for Chem Synth,UW
CHEM,400,Special Topics,Atomic and Molecular Clusters,UW
CHEM,400,Special Topics,Quantum Mechanics in Chem,UW
CHEM,430,Topics: Biochemistry,Antibiotics and Resistance,UW
CHEM,433,Advanced Biochemistry,,UW
CHEM,494A,Research Project,,UW
CHEM,494B,Research Project,,UW
CHEM,496,Advanced Research Project,,UW
CHINA,101R,First-Year Chinese 1,,REN
CHINA,102R,First-Year Chinese 2,,REN
CHINA,120R,Advanced First-Year Chinese,,REN
CHINA,201R,Second-Year Chinese 1,,REN
CHINA,202R,Second-Year Chinese 2,,REN
CHINA,302R,Third-Year Chinese 2,,REN
CHINA,401R,Intro Classical Chinese 1,,REN
CI,100,Cultural Identities Today,,ONLN
CI,200,Transcultural Studies,,UW
CIVE,105,Mechanics 2,,UW
CIVE,121,Computational Methods,,UW
CIVE,123,Elec Circuits & Instrument,,UW
CIVE,153,Earth Engineering,,UW
CIVE,199,Seminar,,UW
CIVE,303,Structural Analysis,,UW
CIVE,332,Civil Systems & Project Mgmt,,UW
CIVE,341,Transportation Eng Applic,,UW
CIVE,353,Geotechnical Engineering 1,,UW
CIVE,382,Hydrol & Open Channel Flow,,UW
CIVE,398,Seminar,,UW
CIVE,401,Design Project 2,,UW
CIVE,415,Structural System Design,,UW
CIVE,422,Finite Element Analysis,,UW
CIVE,440,Transit Planning & Operations,,UW
CIVE,460,Engineering Biomechanics,,UW
CIVE,495,Topics: Design Intensive,Air Quality Enginrng & Impacts,UW
CIVE,497,Special Topics,Smart Structure Technology,UW
CIVE,497,Special Topics,Fire and Structures,UW
CIVE,499,Seminar,,UW
CIVE,507,Building Science & Technology,,UW
CIVE,507,Building Science & Technology,,UW
CIVE,512,Rehabilitation of Structures,,UW
CIVE,542,Pavement Structural Design,,UW
CIVE,554,Geotechnical Engineering 3,,UW
CIVE,583,Design of Urban Water Systems,,UW
CLAS,103,Colossos: Figures of Antiquity,,UW
CLAS,104,Classical Mythology,,ONLN
CLAS,202,"Love, Life & Death in Rome",,ONLN
CLAS,205,Medieval Society,,UW
CLAS,221,Intro Archaeology,,ONLN
CLAS,232,Studies in Ancient Roman Lit,,UW
CLAS,242,Roman Art & Architecture,,UW
CLAS,252,Roman History,,UW
CLAS,260,Ancient Science,,UW
CLAS,261,Great Works: Ancient & Medvl,,STJ
CLAS,486,Senior Seminar,Historcl & Contempry Problems,UW
CMW,201,Worship Practicum 1,,CGC
CMW,202,Worship Practicum 2,,CGC
CMW,364,Worship & its Music,,CGC
CO,227,Intro Optimization (Non-Spec),,UW
CO,250,Intro Optimization,,UW
CO,250,Intro Optimization,,ONLN
CO,255,Intro Optimization (Adv),,UW
CO,327,Deter OR Models (Non-Spec),,UW
CO,331,Coding Theory,,ONLN
CO,353,Computational Discrete Opt,,UW
CO,370,Deterministic OR Models,,UW
CO,372,Portfolio Optimization Models,,UW
CO,430,Algebraic Enumeration,,UW
CO,444,Algebraic Graph Theory,,UW
CO,452,Integer Programming,,UW
CO,463,Convex Optimization & Analysis,,UW
CO,481,Intro Quantum Info Processing,,UW
CO,487,Applied Cryptography,,UW
COMM,101,Intro Financial Markets,,ONLN
COMM,321,Intmd Acct for Finance,,UW
COMM,400,"Entr, Tech & Emerge Info Econ",,UW
COMM,421,Financial Statement Analysis,,UW
COMM,432,Electronic Business,,UW
COMM,433,Income Tax (Finance Students),,UW
COMMST,100,Interpersonal Communication,,UW
COMMST,101,Theories of Communication,,UW
COMMST,102,Intro Performance,,UW
COMMST,111,Leadership & Communication,,UW
COMMST,112,Intro Black Arts/Culture/Lit,,UW
COMMST,149,Intro Critical Design Practice,,BLND
COMMST,149,Intro Critical Design Practice,,BLND
COMMST,191,Eng Comm (AE/CIVE/ENVE/GEOE),,UW
COMMST,192,Eng Comm (COMPE/ELE/MGTE),,UW
COMMST,193,Communication in the Sciences,Communication in the Life Sci,UW
COMMST,193,Communication in the Sciences,Communication in the Phys Sci,UW
COMMST,201,Intro Gender & Sexuality Comm,,UW
COMMST,204,"Leadership, Teams & Comm",,UW
COMMST,223,Public Speaking,,UW
COMMST,225,Interviewing,,UW
COMMST,227,Leadership,,UW
COMMST,228,Public Communication,,UW
COMMST,300,Topics: Digital Design,Trends&Future Digtl Media Art,UW
COMMST,302,"Topics: Race, Culture & Comm",Un/Making Race,BLND
COMMST,399,Communication Inquiry,,UW
COMMST,420,Persuasion,,UW
COMMST,491,Selected Seminars,Death in Popular Culture,UW
COMMST,491,Selected Seminars,Cross-Cultural Care Conditions,STJ
CS,100,Intro Computing Through Applic,,UW
CS,105,Intro Computer Programming 1,,ONLN
CS,106,Intro Computer Programming 2,,ONLN
CS,114,Computing Principles (Sci),,UW
CS,115,Intro Computer Science 1,,ONLN
CS,116,Intro Computer Science 2,,UW
CS,135,Designing Functional Programs,,UW
CS,136,Elem Algo Dsgn & Data Abstrac,,UW
CS,136L,Tools & Tech for Software Dev,,UW
CS,138,Intro Data Abstract & Implem,,UW
CS,146,Algo Dsgn & Data Abstrac (Adv),,UW
CS,200,Concept for Adv Computer Usage,,UW
CS,230,Intro Computers & Comp Sys,,UW
CS,240,Data Structures & Data Mgmt,,UW
CS,240E,Data Structure & Mgmt (Enrich),,UW
CS,241,Found of Sequential Programs,,UW
CS,245,Logic & Computation,,UW
CS,246,Obj-Oriented Soft Dev,,UW
CS,251,Computer Organization & Design,,UW
CS,330,Management Information Systems,,UW
CS,330,Management Information Systems,,ONLN
CS,335,Comp Meth in Bus & Fin,,UW
CS,338,Comp Applic in Bus Databases,,UW
CS,341,Algorithms,,UW
CS,343,Concurrent & Parallel Program,,UW
CS,346,Application Development,,UW
CS,348,Intro Database Management,,UW
CS,349,User Interfaces,,UW
CS,350,Operating Systems,,UW
CS,365,Models of Computation,,UW
CS,370,Numerical Computation,,UW
CS,371,Intro Computational Math,,UW
CS,431,Data-Intense Distrib Analytics,,UW
CS,436,Networks & Distrib Comp Sys,,UW
CS,442,Princ of Programming Languages,,UW
CS,444,Compiler Construction,,UW
CS,445,Software Req Specif & Analysis,,UW
CS,446,Software Design & Archit,,UW
CS,447,"Software Test, QA & Maint",,UW
CS,450,Computer Architecture,,UW
CS,451,Data-Intense Distrib Computing,,UW
CS,452,Real-Time Programming,,UW
CS,453,Software & Systems Security,,UW
CS,454,Distributed Systems,,UW
CS,456,Computer Networks,,UW
